#rho0,E/A
1.565145342868977385e-01,-1.576904576008223913e+01
1.561289937767760261e-01,-1.574633736745926704e+01
1.573881583773869830e-01,-1.574151429318481021e+01
1.570077514641787797e-01,-1.575108470337563560e+01
1.561378476481170841e-01,-1.574418985218739486e+01
1.574335554138199256e-01,-1.575627526129171052e+01
1.563151098831378483e-01,-1.576796366661274718e+01
1.556577086201263449e-01,-1.572833876746204851e+01
1.559480727440572256e-01,-1.573628156282360280e+01
1.566998761540453478e-01,-1.571674053274925065e+01
1.566723728443594754e-01,-1.572763684805009454e+01
1.570868996993218247e-01,-1.572754194792493188e+01
1.561184135403569928e-01,-1.573430053169178322e+01
1.551234325486359478e-01,-1.575241312173504582e+01
1.563422423423231622e-01,-1.573432933452995997e+01
1.560476918797613355e-01,-1.570742788959515401e+01
1.585868743727250896e-01,-1.575278759767233083e+01
1.556101942419063910e-01,-1.573712030643841153e+01
1.551102028071844607e-01,-1.571815898433913183e+01
1.559842273944275493e-01,-1.571315035530487947e+01
1.558615529660876131e-01,-1.577278565201121552e+01
1.568917921472889887e-01,-1.575171370383744041e+01
1.564017709176965809e-01,-1.576257499510354698e+01
1.555425920598251521e-01,-1.573821699363684168e+01
1.553221484922885642e-01,-1.575089323588334267e+01
1.570565856244846847e-01,-1.576760477759466106e+01
1.568503628191265098e-01,-1.576761355856606706e+01
1.570743007093292343e-01,-1.577432181249071341e+01
1.556504042123380838e-01,-1.574118154897671396e+01
1.551871189221770975e-01,-1.572959169254870382e+01
1.560797865417180574e-01,-1.578798741000002259e+01
1.560189072005416511e-01,-1.575267276581165277e+01
1.553970502550005295e-01,-1.578293731369049624e+01
1.579220914745294024e-01,-1.576223045087408714e+01
1.559712400885775452e-01,-1.571104796643085777e+01
1.574035516799138223e-01,-1.576596621561450107e+01
1.567285082859925238e-01,-1.575712537092248766e+01
1.570897785044587935e-01,-1.577060011295197484e+01
1.566580891204072123e-01,-1.574876228272755085e+01
1.561815849865776651e-01,-1.574216531914954942e+01
1.574994158224182761e-01,-1.577209750557049439e+01
1.558213900849943212e-01,-1.573790670783036560e+01
1.554787270681365630e-01,-1.575541324782226837e+01
1.563805473522801304e-01,-1.578646122440026467e+01
1.552051436101581916e-01,-1.573054724483112210e+01
1.563053271001445255e-01,-1.571947362615952848e+01
1.561789723444909350e-01,-1.576198739487242051e+01
1.559234943895240477e-01,-1.573060788233195950e+01
1.568855663364919217e-01,-1.577064501552056797e+01
1.553918896839293906e-01,-1.574385716688357917e+01
1.551369758949128486e-01,-1.572760227339216144e+01
1.574833071692431641e-01,-1.574403172710007937e+01
1.550408240271618776e-01,-1.573859669324535915e+01
1.558055230109550438e-01,-1.578166001415475783e+01
1.562706293404403923e-01,-1.571460768164605959e+01
1.563474625539729990e-01,-1.576762978212574140e+01
1.556332212032619788e-01,-1.575021705163368502e+01
1.553256445010975095e-01,-1.576672192176418186e+01
1.559866659495350028e-01,-1.576747626194206298e+01
1.559733748264967301e-01,-1.574923725485966308e+01
1.560111158897250216e-01,-1.574314254256682588e+01
1.562481761718477469e-01,-1.571817737803631410e+01
1.565296893215455121e-01,-1.576087374415887865e+01
1.575092231562998935e-01,-1.572336783066155519e+01
1.575711712609172421e-01,-1.573816617030392528e+01
1.556289043401052619e-01,-1.581100479435581185e+01
1.550215445487611865e-01,-1.569787327437854962e+01
1.552805066157900982e-01,-1.573820861742449218e+01
1.558846843466790144e-01,-1.575424630148760485e+01
1.560562301366645033e-01,-1.574417683944917989e+01
1.567901297821457374e-01,-1.575698656721377056e+01
1.565653554281921100e-01,-1.570750453118919232e+01
1.559660148877625441e-01,-1.572788389642096263e+01
1.552619392189344139e-01,-1.569873539971356458e+01
1.565619236007945447e-01,-1.573150331937598168e+01
1.587874405012560108e-01,-1.574272828016590431e+01
1.559075317186574827e-01,-1.572805939160938848e+01
1.555302170304380949e-01,-1.575117956497461158e+01
1.550199316680394013e-01,-1.574401154485451393e+01
