#    <A>=  0.153179  sigmaA= 0.000488
#    <B>=-16.230452  sigmaB= 0.020383
#  rhoAB= -0.308590
#    a39=  0.000464     b39=  0.020384
#    a95=  0.001135     b95=  0.049890
#  tht39=  0.423243   tht95=  0.423243
#
#       A39       B39         A95       B95
     0.153635 -16.243244   0.154295 -16.261760
     0.153637 -16.243043   0.154300 -16.261269
     0.153639 -16.242841   0.154305 -16.260774
     0.153641 -16.242637   0.154310 -16.260274
     0.153643 -16.242430   0.154314 -16.259769
     0.153645 -16.242222   0.154319 -16.259259
     0.153647 -16.242012   0.154323 -16.258745
     0.153649 -16.241800   0.154328 -16.258227
     0.153650 -16.241587   0.154332 -16.257704
     0.153652 -16.241371   0.154335 -16.257176
     0.153653 -16.241154   0.154339 -16.256645
     0.153655 -16.240935   0.154343 -16.256109
     0.153656 -16.240715   0.154346 -16.255570
     0.153657 -16.240493   0.154349 -16.255026
     0.153658 -16.240269   0.154352 -16.254479
     0.153660 -16.240044   0.154355 -16.253927
     0.153661 -16.239817   0.154357 -16.253372
     0.153662 -16.239589   0.154359 -16.252814
     0.153662 -16.239359   0.154362 -16.252252
     0.153663 -16.239128   0.154364 -16.251686
     0.153664 -16.238895   0.154365 -16.251117
     0.153665 -16.238662   0.154367 -16.250545
     0.153665 -16.238426   0.154368 -16.249969
     0.153666 -16.238190   0.154370 -16.249391
     0.153666 -16.237953   0.154371 -16.248809
     0.153666 -16.237714   0.154371 -16.248225
     0.153667 -16.237474   0.154372 -16.247638
     0.153667 -16.237233   0.154373 -16.247048
     0.153667 -16.236991   0.154373 -16.246455
     0.153667 -16.236748   0.154373 -16.245860
     0.153667 -16.236504   0.154373 -16.245263
     0.153667 -16.236258   0.154373 -16.244663
     0.153667 -16.236013   0.154372 -16.244061
     0.153666 -16.235766   0.154372 -16.243457
     0.153666 -16.235518   0.154371 -16.242851
     0.153666 -16.235269   0.154370 -16.242242
     0.153665 -16.235020   0.154368 -16.241632
     0.153665 -16.234770   0.154367 -16.241021
     0.153664 -16.234520   0.154365 -16.240407
     0.153663 -16.234268   0.154364 -16.239792
     0.153662 -16.234016   0.154362 -16.239175
     0.153662 -16.233764   0.154360 -16.238558
     0.153661 -16.233511   0.154357 -16.237938
     0.153660 -16.233257   0.154355 -16.237318
     0.153658 -16.233003   0.154352 -16.236696
     0.153657 -16.232749   0.154349 -16.236074
     0.153656 -16.232494   0.154346 -16.235451
     0.153655 -16.232239   0.154343 -16.234827
     0.153653 -16.231984   0.154339 -16.234202
     0.153652 -16.231729   0.154336 -16.233576
     0.153650 -16.231473   0.154332 -16.232950
     0.153649 -16.231217   0.154328 -16.232324
     0.153647 -16.230961   0.154324 -16.231697
     0.153645 -16.230705   0.154319 -16.231071
     0.153643 -16.230449   0.154315 -16.230444
