#    <A>=  0.150609  sigmaA= 0.000690
#    <B>=-16.280374  sigmaB= 0.020707
#  rhoAB= -0.286052
#    a39=  0.000661     b39=  0.020708
#    a95=  0.001619     b95=  0.050683
#  tht39=  0.546922   tht95=  0.546922
#
#       A39       B39         A95       B95
     0.151173 -16.296652   0.151990 -16.320214
     0.151178 -16.296490   0.152002 -16.319817
     0.151183 -16.296325   0.152014 -16.319414
     0.151188 -16.296158   0.152026 -16.319005
     0.151193 -16.295988   0.152037 -16.318590
     0.151197 -16.295816   0.152048 -16.318168
     0.151202 -16.295642   0.152059 -16.317741
     0.151206 -16.295465   0.152070 -16.317308
     0.151211 -16.295285   0.152081 -16.316869
     0.151215 -16.295104   0.152091 -16.316424
     0.151219 -16.294919   0.152101 -16.315974
     0.151223 -16.294733   0.152111 -16.315518
     0.151227 -16.294544   0.152121 -16.315056
     0.151231 -16.294354   0.152130 -16.314589
     0.151234 -16.294161   0.152139 -16.314116
     0.151238 -16.293965   0.152148 -16.313639
     0.151242 -16.293768   0.152157 -16.313155
     0.151245 -16.293568   0.152165 -16.312667
     0.151248 -16.293367   0.152173 -16.312174
     0.151252 -16.293163   0.152181 -16.311675
     0.151255 -16.292958   0.152189 -16.311172
     0.151258 -16.292750   0.152196 -16.310664
     0.151261 -16.292540   0.152203 -16.310151
     0.151263 -16.292329   0.152210 -16.309633
     0.151266 -16.292115   0.152217 -16.309111
     0.151269 -16.291900   0.152223 -16.308584
     0.151271 -16.291683   0.152229 -16.308053
     0.151274 -16.291464   0.152235 -16.307517
     0.151276 -16.291244   0.152241 -16.306977
     0.151278 -16.291021   0.152246 -16.306433
     0.151280 -16.290797   0.152251 -16.305885
     0.151282 -16.290572   0.152256 -16.305332
     0.151284 -16.290344   0.152261 -16.304776
     0.151286 -16.290115   0.152265 -16.304216
     0.151288 -16.289885   0.152269 -16.303652
     0.151289 -16.289653   0.152273 -16.303085
     0.151291 -16.289420   0.152277 -16.302513
     0.151292 -16.289185   0.152280 -16.301939
     0.151293 -16.288949   0.152283 -16.301361
     0.151294 -16.288711   0.152286 -16.300779
     0.151295 -16.288473   0.152288 -16.300195
     0.151296 -16.288232   0.152291 -16.299607
     0.151297 -16.287991   0.152293 -16.299016
     0.151298 -16.287749   0.152294 -16.298423
     0.151298 -16.287505   0.152296 -16.297826
     0.151299 -16.287260   0.152297 -16.297227
     0.151299 -16.287014   0.152298 -16.296625
     0.151299 -16.286767   0.152298 -16.296021
     0.151300 -16.286519   0.152299 -16.295414
     0.151300 -16.286270   0.152299 -16.294804
     0.151300 -16.286020   0.152299 -16.294193
     0.151299 -16.285769   0.152298 -16.293579
     0.151299 -16.285518   0.152298 -16.292963
     0.151299 -16.285265   0.152297 -16.292345
     0.151298 -16.285012   0.152295 -16.291725
     0.151298 -16.284758   0.152294 -16.291104
     0.151297 -16.284503   0.152292 -16.290480
     0.151296 -16.284248   0.152290 -16.289856
     0.151295 -16.283992   0.152288 -16.289229
     0.151294 -16.283736   0.152285 -16.288601
     0.151293 -16.283479   0.152282 -16.287972
     0.151292 -16.283221   0.152279 -16.287342
     0.151290 -16.282963   0.152276 -16.286711
     0.151289 -16.282705   0.152272 -16.286078
     0.151287 -16.282446   0.152269 -16.285445
     0.151286 -16.282187   0.152264 -16.284811
     0.151284 -16.281928   0.152260 -16.284176
     0.151282 -16.281668   0.152255 -16.283541
     0.151280 -16.281408   0.152250 -16.282905
     0.151278 -16.281148   0.152245 -16.282269
     0.151276 -16.280888   0.152240 -16.281632
     0.151273 -16.280628   0.152234 -16.280996
     0.151271 -16.280368   0.152228 -16.280359
