#    <A>=  0.149819  sigmaA= 0.000491
#    <B>=-16.346358  sigmaB= 0.021260
#  rhoAB= -0.411681
#    a39=  0.000447     b39=  0.021261
#    a95=  0.001094     b95=  0.052035
#  tht39=  0.544546   tht95=  0.544546
#
#       A39       B39         A95       B95
     0.149626 -16.360719   0.149346 -16.381506
     0.149631 -16.360915   0.149360 -16.381985
     0.149637 -16.361108   0.149374 -16.382459
     0.149643 -16.361299   0.149388 -16.382927
     0.149649 -16.361488   0.149402 -16.383389
     0.149654 -16.361675   0.149416 -16.383845
     0.149660 -16.361859   0.149430 -16.384296
     0.149666 -16.362040   0.149445 -16.384740
     0.149672 -16.362220   0.149459 -16.385179
     0.149678 -16.362396   0.149474 -16.385611
     0.149684 -16.362570   0.149488 -16.386037
     0.149690 -16.362742   0.149503 -16.386457
     0.149696 -16.362911   0.149517 -16.386871
     0.149702 -16.363077   0.149532 -16.387278
     0.149708 -16.363241   0.149546 -16.387678
     0.149714 -16.363402   0.149561 -16.388072
     0.149720 -16.363560   0.149576 -16.388460
     0.149726 -16.363716   0.149591 -16.388841
     0.149732 -16.363869   0.149605 -16.389215
     0.149738 -16.364019   0.149620 -16.389582
     0.149744 -16.364166   0.149635 -16.389943
     0.149750 -16.364311   0.149650 -16.390297
     0.149756 -16.364452   0.149665 -16.390644
     0.149762 -16.364591   0.149680 -16.390983
     0.149768 -16.364727   0.149695 -16.391316
     0.149774 -16.364860   0.149710 -16.391642
     0.149781 -16.364990   0.149725 -16.391960
     0.149787 -16.365118   0.149740 -16.392271
     0.149793 -16.365242   0.149755 -16.392575
     0.149799 -16.365363   0.149770 -16.392872
     0.149805 -16.365481   0.149785 -16.393162
     0.149811 -16.365596   0.149801 -16.393444
     0.149818 -16.365709   0.149816 -16.393718
     0.149824 -16.365818   0.149831 -16.393985
     0.149830 -16.365924   0.149846 -16.394245
     0.149836 -16.366027   0.149861 -16.394497
     0.149842 -16.366127   0.149876 -16.394741
     0.149848 -16.366223   0.149891 -16.394978
     0.149855 -16.366317   0.149906 -16.395207
     0.149861 -16.366407   0.149921 -16.395428
     0.149867 -16.366495   0.149936 -16.395642
     0.149873 -16.366579   0.149951 -16.395848
     0.149879 -16.366660   0.149966 -16.396046
     0.149885 -16.366737   0.149981 -16.396236
     0.149891 -16.366812   0.149996 -16.396418
     0.149897 -16.366883   0.150011 -16.396593
     0.149903 -16.366951   0.150026 -16.396759
     0.149910 -16.367016   0.150041 -16.396918
     0.149916 -16.367077   0.150055 -16.397068
     0.149922 -16.367136   0.150070 -16.397211
     0.149928 -16.367191   0.150085 -16.397345
     0.149934 -16.367242   0.150100 -16.397472
     0.149940 -16.367291   0.150114 -16.397590
     0.149946 -16.367336   0.150129 -16.397700
     0.149952 -16.367377   0.150143 -16.397802
     0.149957 -16.367416   0.150158 -16.397896
     0.149963 -16.367451   0.150172 -16.397982
     0.149969 -16.367483   0.150187 -16.398060
     0.149975 -16.367511   0.150201 -16.398130
     0.149981 -16.367536   0.150215 -16.398191
     0.149987 -16.367558   0.150230 -16.398244
     0.149993 -16.367576   0.150244 -16.398289
     0.149998 -16.367591   0.150258 -16.398326
     0.150004 -16.367603   0.150272 -16.398355
     0.150010 -16.367611   0.150286 -16.398375
     0.150015 -16.367616   0.150300 -16.398387
     0.150021 -16.367618   0.150313 -16.398391
     0.150027 -16.367616   0.150327 -16.398387
     0.150032 -16.367611   0.150341 -16.398375
     0.150038 -16.367603   0.150354 -16.398354
     0.150043 -16.367591   0.150368 -16.398325
     0.150049 -16.367576   0.150381 -16.398288
     0.150054 -16.367557   0.150394 -16.398243
     0.150059 -16.367535   0.150408 -16.398189
     0.150065 -16.367510   0.150421 -16.398127
     0.150070 -16.367482   0.150434 -16.398058
     0.150075 -16.367450   0.150447 -16.397980
     0.150081 -16.367415   0.150460 -16.397893
     0.150086 -16.367376   0.150472 -16.397799
     0.150091 -16.367334   0.150485 -16.397697
     0.150096 -16.367289   0.150497 -16.397586
     0.150101 -16.367241   0.150510 -16.397468
     0.150106 -16.367189   0.150522 -16.397341
     0.150111 -16.367134   0.150534 -16.397206
     0.150116 -16.367075   0.150546 -16.397063
     0.150121 -16.367014   0.150558 -16.396913
     0.150126 -16.366949   0.150570 -16.396754
     0.150131 -16.366881   0.150582 -16.396587
     0.150135 -16.366810   0.150593 -16.396413
     0.150140 -16.366735   0.150605 -16.396230
     0.150145 -16.366657   0.150616 -16.396040
     0.150149 -16.366576   0.150627 -16.395841
     0.150154 -16.366492   0.150638 -16.395635
     0.150158 -16.366405   0.150649 -16.395421
     0.150163 -16.366314   0.150660 -16.395200
     0.150167 -16.366220   0.150671 -16.394970
     0.150171 -16.366123   0.150682 -16.394733
     0.150176 -16.366024   0.150692 -16.394489
     0.150180 -16.365920   0.150702 -16.394237
     0.150184 -16.365814   0.150712 -16.393977
     0.150188 -16.365705   0.150722 -16.393709
     0.150192 -16.365593   0.150732 -16.393435
     0.150196 -16.365478   0.150742 -16.393152
     0.150200 -16.365359   0.150752 -16.392863
     0.150204 -16.365238   0.150761 -16.392566
     0.150208 -16.365114   0.150770 -16.392262
     0.150211 -16.364986   0.150779 -16.391950
     0.150215 -16.364856   0.150788 -16.391631
     0.150219 -16.364723   0.150797 -16.391306
     0.150222 -16.364587   0.150806 -16.390973
     0.150226 -16.364448   0.150814 -16.390633
     0.150229 -16.364306   0.150823 -16.390286
     0.150232 -16.364162   0.150831 -16.389932
     0.150236 -16.364014   0.150839 -16.389571
     0.150239 -16.363864   0.150847 -16.389203
     0.150242 -16.363711   0.150855 -16.388829
     0.150245 -16.363555   0.150862 -16.388448
     0.150248 -16.363397   0.150870 -16.388060
     0.150251 -16.363236   0.150877 -16.387666
     0.150254 -16.363072   0.150884 -16.387265
     0.150257 -16.362905   0.150891 -16.386857
     0.150260 -16.362736   0.150897 -16.386444
     0.150262 -16.362565   0.150904 -16.386024
     0.150265 -16.362391   0.150910 -16.385597
     0.150267 -16.362214   0.150917 -16.385165
     0.150270 -16.362035   0.150923 -16.384726
     0.150272 -16.361853   0.150928 -16.384282
     0.150275 -16.361669   0.150934 -16.383831
     0.150277 -16.361482   0.150940 -16.383374
     0.150279 -16.361293   0.150945 -16.382912
     0.150281 -16.361102   0.150950 -16.382444
     0.150283 -16.360908   0.150955 -16.381970
     0.150285 -16.360713   0.150960 -16.381490
     0.150287 -16.360514   0.150964 -16.381005
     0.150289 -16.360314   0.150969 -16.380515
     0.150291 -16.360111   0.150973 -16.380019
     0.150292 -16.359906   0.150977 -16.379517
     0.150294 -16.359700   0.150981 -16.379011
     0.150295 -16.359490   0.150985 -16.378499
     0.150297 -16.359279   0.150988 -16.377982
     0.150298 -16.359066   0.150992 -16.377461
     0.150299 -16.358851   0.150995 -16.376934
     0.150301 -16.358634   0.150998 -16.376403
     0.150302 -16.358415   0.151001 -16.375866
     0.150303 -16.358194   0.151003 -16.375326
     0.150304 -16.357971   0.151006 -16.374780
     0.150305 -16.357746   0.151008 -16.374230
     0.150305 -16.357520   0.151010 -16.373676
     0.150306 -16.357292   0.151012 -16.373117
